Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Winner
Liberty,S13,BR,18,27.8%,0.65,1701,-141,35:03:00,10.3,15.8,5.0,8.4,33.3,61.1,2.00,39.7,-,0.94,47.2,0.67,0.1,-568,3.56,0.72,40.7,30.7,2140,2.9,1.47,1.54,0
Los Grandes,S13,BR,18,66.7%,1.14,1866,112,32:45:00,14.6,12.8,7.2,5.5,44.4,50.0,2.50,54.6,-,01.06,52.8,0.89,-0.3,-283,5.33,1.17,59.3,32.5,2351,2.4,1.30,1.54,0
LOUD,S13,BR,18,66.7%,1.10,1810,49,32:29:00,14.4,13.1,7.1,5.8,50.0,44.4,2.39,57.4,-,1.00,50.0,1.17,0.1,-11,4.33,0.83,54.4,31.1,2376,2.7,1.45,1.45,1
paiN Gaming,S13,BR,18,66.7%,1.18,1783,66,33:13:00,12.8,10.8,7.1,5.2,50.0,44.4,2.44,50.0,-,0.72,38.9,0.72,-0.1,332,4.61,0.72,62.5,32.0,2104,2.6,1.55,1.66,0
RED Canids,S13,BR,18,61.1%,1.32,1790,52,32:49:00,13.4,10.1,6.7,5.8,77.8,27.8,2.50,54.6,-,0.89,44.4,0.89,-0.1,-402,3.33,0.83,58.3,32.2,1991,2.6,1.35,1.54,0
Vivo Keyd Stars,S13,BR,18,27.8%,0.84,1714,-142,33:44:00,14.1,16.8,5.2,7.4,50.0,44.4,02.06,43.3,-,1.11,58.3,0.78,0.1,257,3.72,0.56,38.2,30.3,2158,2.6,1.54,1.59,0
Flamengo Los Grandes,S12,BR,18,33.3%,0.80,1739,-110,33:43:00,11.8,14.7,5.1,7.5,38.9,44.4,2.39,48.2,-,0.61,30.6,1.22,-0.3,-842,3.94,0.67,36.1,32.1,1824,3.6,1.47,1.55,0
FURIA Esports,S12,BR,18,83.3%,1.52,1865,188,33:40:00,14.9,9.8,8.3,3.8,38.9,66.7,2.11,42.9,-,01.06,52.8,0.39,0.3,735,4.17,0.89,66.7,33.2,2124,3.8,1.57,1.64,0
INTZ e-Sports,S12,BR,18,22.2%,0.61,1638,-236,33:35:00,10.7,17.4,3.4,8.1,33.3,44.4,1.83,36.4,-,1.00,50.0,0.56,0.1,-1007,3.00,0.44,26.4,30.0,1879,3.2,1.42,1.33,0
KaBuM! e-Sports,S12,BR,18,61.1%,1.33,1860,161,30:29:00,15.5,11.7,7.1,4.2,61.1,50.0,2.39,58.2,-,1.28,63.9,0.94,0.1,782,4.33,0.83,63.0,31.9,2248,3.4,1.50,1.72,0
Liberty,S12,BR,18,44.4%,0.99,1738,-25,32:49:00,12.2,12.3,5.6,6.4,66.7,50.0,2.83,62.1,-,0.94,47.2,1.00,-0.1,108,3.50,0.67,48.1,30.7,1995,3.4,1.50,1.56,0
LOUD,S12,BR,18,66.7%,1.47,1870,181,33:17:00,16.7,11.4,8.2,4.5,77.8,88.9,2.61,58.5,-,1.56,77.8,0.72,0.4,1138,5.22,1.17,70.8,31.5,2302,3.8,1.63,1.50,1
Netshoes Miners,S12,BR,18,44.4%,0.82,1721,-73,33:52:00,10.8,13.2,5.2,6.6,38.9,44.4,2.39,48.6,-,1.11,55.6,0.89,-0.3,-488,3.44,0.72,50.0,31.5,1987,3.5,1.58,1.68,0
paiN Gaming,S12,BR,18,66.7%,1.27,1835,92,33:41:00,14.4,11.3,7.0,5.4,44.4,50.0,2.83,54.8,-,0.83,41.7,1.11,0.2,597,4.22,0.78,55.6,32.9,2172,3.4,1.63,1.64,0
RED Canids,S12,BR,18,72.2%,1.36,1874,173,32:57:00,16.7,12.3,8.0,4.4,55.6,33.3,2.72,54.7,-,1.00,50.0,0.83,-0.1,440,4.50,0.94,67.6,32.2,2280,3.2,1.31,1.43,0
Rensga eSports,S12,BR,18,5.6%,0.44,1602,-349,30:43:00,7.7,17.6,2.4,9.4,44.4,27.8,1.56,35.6,-,0.61,30.6,0.72,-0.3,-1464,3.33,0.22,14.7,30.5,1810,3.3,1.45,1.26,0
Flamengo Los Grandes,S12,BR,18,27.8%,0.74,1695,-153,33:57:00,11.1,15.0,4.6,8.3,38.9,16.7,1.78,36.7,-,0.67,36.1,0.67,-0.5,-1103,3.94,0.44,33.3,31.8,1757,3.3,1.47,1.40,0
FURIA Esports,S12,BR,18,66.7%,1.12,1845,100,33:26:00,15.2,13.5,8.2,5.9,55.6,50.0,2.78,62.8,-,0.94,47.2,01.06,0.0,-78,5.17,0.94,62.0,32.4,2022,3.7,1.59,1.67,0
INTZ e-Sports,S12,BR,18,16.7%,0.71,1666,-230,30:02:00,10.5,14.8,4.2,8.4,44.4,38.9,1.44,34.0,-,0.78,38.9,0.44,-0.7,-1253,3.78,0.33,21.1,30.8,1640,3.3,1.41,1.30,0
KaBuM! e-Sports,S12,BR,18,72.2%,1.37,1900,157,31:00:00,18.3,13.3,7.8,4.8,55.6,38.9,2.78,60.2,-,1.28,63.9,1.00,-0.3,-131,5.89,0.94,70.6,32.4,2216,3.4,1.51,1.59,0
Liberty,S12,BR,18,55.6%,1.11,1780,17,32:34:00,14.5,13.1,7.4,5.8,33.3,66.7,2.44,55.8,-,01.06,52.8,0.67,0.8,1081,6.00,0.67,50.0,30.5,1896,3.2,1.32,1.47,0
LOUD,S12,BR,18,55.6%,0.98,1815,48,34:51:00,15.1,15.3,7.7,6.0,44.4,72.2,2.78,62.2,-,0.78,38.9,0.83,0.6,1350,6.78,0.78,54.6,31.7,2070,4.0,1.72,1.49,0
Netshoes Miners,S12,BR,18,55.6%,0.99,1797,-16,33:33:00,16.3,16.4,6.4,6.7,61.1,50.0,2.22,48.2,-,01.06,52.8,0.67,0.1,-396,3.83,0.94,60.8,31.1,2179,3.3,1.57,1.47,0
paiN Gaming,S12,BR,18,55.6%,1.17,1847,118,31:49:00,14.3,12.2,7.1,5.6,66.7,61.1,2.33,51.8,-,1.11,55.6,1.11,0.2,964,5.78,0.72,61.8,33.1,1992,3.4,1.54,1.50,0
RED Canids,S12,BR,18,61.1%,1.13,1837,66,33:00:00,15.5,13.7,7.2,6.3,55.6,50.0,2.22,48.6,-,01.06,55.6,0.67,-0.1,247,4.67,0.61,50.0,32.3,1953,3.2,1.50,1.37,1
Rensga eSports,S12,BR,18,33.3%,0.81,1748,-107,32:35:00,14.0,17.3,4.9,7.6,44.4,55.6,1.89,39.7,-,1.17,58.3,0.61,-0.2,-684,4.83,0.44,33.3,31.3,1978,3.4,1.53,1.43,0
Flamengo eSports,S11,BR,18,66.7%,1.24,1829,117,32:49:00,16.9,13.6,7.3,4.7,55.6,44.4,2.33,53.0,-,1.00,50.0,0.50,0.2,-92,-,0.56,53.1,31.6,2206,3.8,1.76,1.63,0
FURIA Esports,S11,BR,18,22.2%,0.64,1690,-219,32:19:00,12.6,19.6,4.6,8.3,27.8,55.6,1.50,37.0,-,01.06,52.8,0.67,-0.3,-1180,-,0.33,21.3,30.3,2137,3.3,1.42,1.27,0
INTZ e-Sports,S11,BR,18,27.8%,0.81,1698,-127,32:38:00,12.8,15.8,5.1,8.2,44.4,33.3,2.22,47.8,-,0.83,41.7,0.83,-0.5,-681,-,0.39,25.0,31.0,1872,3.8,1.50,1.50,0
KaBuM! e-Sports,S11,BR,18,38.9%,0.84,1725,-88,30:33:00,12.8,15.2,4.9,7.3,33.3,38.9,2.28,53.4,-,0.72,36.1,01.06,-0.2,-518,-,0.50,41.2,31.0,1985,3.1,1.42,1.53,0
LOUD,S11,BR,18,55.6%,01.09,1774,26,35:00:00,14.7,13.5,7.3,5.9,61.1,50.0,2.33,47.5,-,0.56,27.8,0.94,-0.2,-438,-,0.83,53.9,31.6,1963,3.6,1.42,1.51,0
Netshoes Miners,S11,BR,18,27.8%,0.80,1670,-137,34:03:00,12.4,15.4,4.5,7.6,55.6,16.7,2.00,39.6,-,0.67,33.3,0.83,-0.6,-1070,-,0.72,44.1,29.9,1931,3.4,1.30,1.30,0
