Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Winner
IDM Gaming,S8,BR,19,47.4%,0.91,1717,-106,32:31:00,10.4,11.4,5.6,6.6,47.4,36.8,1.63,50.4,-,0.42,44.4,0.58,0.4,-104,-,0.53,36.5,32.6,1632,3.0,1.27,1.16,0
INTZ eSports,S8,BR,19,42.1%,0.91,1694,-99,34:21:00,10.7,11.7,5.9,6.6,47.4,63.2,1.58,45.1,-,0.42,50.0,0.47,-0.2,-822,-,0.68,50.0,31.7,1690,3.4,1.34,1.23,0
KaBuM! e-Sports,S8,BR,17,70.6%,01.06,1858,133,31:15:00,12.5,11.8,7.5,4.6,29.4,47.1,1.76,57.1,-,0.41,43.8,0.44,-0.1,-451,-,0.82,66.7,33.6,1868,3.1,1.33,1.16,1
ProGaming eSports,S8,BR,18,38.9%,0.83,1753,-55,36:15:00,12.0,14.4,5.6,7.2,50.0,44.4,1.94,44.8,-,0.33,37.5,0.44,-0.1,356,-,0.61,42.8,33.3,1890,3.9,1.63,1.44,0
Red Canids,S8,BR,16,31.3%,01.02,1719,-92,34:44:00,12.1,11.9,4.6,8.2,43.8,50.0,1.75,51.3,-,0.50,53.3,0.69,-0.4,121,-,0.38,28.1,33.1,1847,3.0,1.32,1.27,0
Vivo Keyd,S8,BR,16,50.0%,1.22,1820,73,30:53:00,15.0,12.3,5.8,5.7,87.5,43.8,1.38,47.9,-,0.50,53.3,0.69,-0.5,-94,-,0.63,53.3,32.9,1802,3.2,1.23,01.08,0
CNB e-Sports Club,S8,BR,16,50.0%,0.94,1766,-66,34:32:00,11.0,11.7,6.3,6.8,31.3,37.5,1.81,53.1,-,0.38,42.9,0.88,0.1,23,-,0.75,41.7,32.9,1998,4.0,01.09,1.55,0
INTZ eSports,S8,BR,17,35.3%,0.91,1746,-104,37:40:00,11.2,12.3,5.9,7.5,52.9,47.1,1.24,35.4,-,0.35,50.0,0.41,-0.4,-594,-,0.71,34.3,33.6,2006,4.4,1.36,1.56,0
KaBuM! e-Sports,S8,BR,16,75.0%,1.31,1922,248,31:27:00,11.3,8.6,7.9,3.8,56.3,62.5,1.69,55.9,-,0.50,53.3,0.44,0.3,601,-,1.25,81.3,35.3,1965,4.5,1.33,1.73,1
paiN Gaming,S8,BR,19,36.8%,0.90,1736,-89,38:13:00,9.0,9.9,5.6,7.3,47.4,63.2,1.47,46.8,-,0.37,38.9,0.32,0.2,-152,-,01.05,50.9,34.0,1896,4.1,1.20,1.64,0
ProGaming eSports,S8,BR,18,50.0%,1.15,1757,-16,38:20:00,10.5,9.1,6.8,6.7,66.7,50.0,1.94,43.3,-,0.50,60.0,0.44,-0.1,98,-,1.00,50.9,33.0,1912,5.0,1.80,1.68,0
Red Canids,S8,BR,16,75.0%,1.51,1897,161,38:01:00,13.3,8.8,7.8,5.4,50.0,43.8,02.06,55.8,-,0.44,53.8,0.44,0.0,559,-,1.31,61.5,36.0,2137,3.8,1.12,1.74,0
Team oNe eSports,S8,BR,15,26.7%,0.54,1716,-186,36:12:00,8.1,14.9,4.5,8.3,33.3,40.0,2.00,52.9,-,0.27,30.8,0.60,-0.3,-705,-,0.47,22.2,34.0,1919,4.2,1.34,1.48,0
Vivo Keyd,S8,BR,15,53.3%,01.06,1836,69,33:44:00,11.6,10.9,6.9,5.9,60.0,53.3,1.53,59.3,-,0.60,75.0,0.13,0.1,193,-,0.80,56.7,34.7,1939,4.4,1.38,1.59,0
CNB e-Sports Club,S7,BR,14,21.4%,0.96,1703,-106,40:35:00,10.6,11.1,5.3,8.3,57.1,42.9,1.21,29.4,-,0.36,41.7,0.36,0.3,-319,-,0.86,33.8,31.5,1715,3.5,0.98,1.40,0
INTZ eSports,S7,BR,14,78.6%,1.31,1864,156,39:38:00,15.2,11.6,8.4,5.3,57.1,50.0,2.57,68.7,-,0.57,61.5,0.71,0.0,604,-,1.21,61.4,31.0,1950,3.8,1.14,1.27,0
Keyd Stars,S7,BR,14,50.0%,1.17,1803,78,37:59:00,13.2,11.3,6.6,5.4,64.3,71.4,1.79,53.6,-,0.36,55.6,0.43,0.4,843,-,0.86,59.0,31.8,1871,4.0,1.25,1.50,0
Pain Gaming,S7,BR,14,57.1%,1.17,1779,81,37:54:00,10.6,9.0,7.1,6.0,50.0,78.6,2.93,72.5,-,0.50,63.6,0.79,0.0,538,-,0.86,66.7,31.7,1853,3.6,01.09,1.38,0
ProGaming eSports,S7,BR,14,57.1%,01.04,1776,39,35:23:00,12.6,12.1,7.0,5.4,50.0,57.1,1.43,46.9,-,0.50,63.6,0.29,0.1,77,-,0.71,51.2,30.7,1896,3.8,1.16,1.16,0
Red Canids,S7,BR,14,71.4%,1.23,1822,77,40:44:00,13.9,11.3,8.1,6.3,35.7,50.0,02.07,52.0,-,0.43,50.0,0.29,0.2,122,-,1.43,67.9,31.3,1798,3.8,1.17,1.32,0
T Show,S7,BR,14,0.0%,0.36,1555,-409,36:22:00,5.9,16.4,2.1,9.7,14.3,7.1,0.86,22.7,-,0.07,9.1,0.21,-1.1,-2452,-,0.14,9.5,30.8,1688,3.5,1.29,1.25,0
Team oNe eSports,S7,BR,14,64.3%,01.07,1817,85,36:51:00,11.4,10.6,7.6,5.8,71.4,42.9,2.00,54.2,-,0.43,54.5,0.50,0.1,587,-,0.86,50.0,32.2,1844,3.6,01.02,1.14,1
CNB e-Sports Club,S7,BR,14,42.9%,1.14,1694,-77,41:20:00,10.6,9.4,5.1,8.1,28.6,35.7,02.07,42.5,-,0.14,40.0,0.36,-0.5,-725,-,0.71,47.6,31.1,1919,3.5,01.01,1.50,0
INTZ eSports,S7,BR,14,78.6%,1.26,1880,242,30:25:00,12.6,10.0,8.6,3.6,35.7,85.7,2.14,68.5,-,0.50,77.8,0.64,1.2,829,-,0.86,69.2,30.5,1670,3.6,01.02,1.00,0
KaBuM! e-Sports,S7,BR,14,21.4%,0.61,1667,-199,38:46:00,10.4,16.8,4.5,8.6,50.0,28.6,1.29,31.5,-,0.07,25.0,0.50,-0.6,-922,-,0.36,20.2,29.9,1804,3.1,0.78,1.24,0
Keyd Stars,S7,BR,14,57.1%,0.96,1755,12,43:41:00,11.2,11.6,6.9,6.3,57.1,50.0,2.57,55.4,-,0.29,66.7,0.50,-0.1,-81,-,01.07,61.5,31.7,1672,4.0,1.32,1.59,0
Operation Kino,S7,BR,14,28.6%,0.87,1685,-139,39:32:00,12.4,14.4,5.3,7.8,50.0,35.7,1.93,41.3,-,0.07,16.7,0.64,-0.6,-867,-,1.00,51.3,29.5,1866,3.5,0.81,1.22,0
Pain Gaming,S7,BR,14,71.4%,1.60,1816,148,41:43:00,14.4,9.0,8.5,4.9,78.6,64.3,2.71,59.3,-,0.14,50.0,0.50,0.2,965,-,0.79,51.3,30.7,1861,3.7,0.96,1.39,0
Red Canids,S7,BR,14,78.6%,1.23,1838,187,39:16:00,11.6,9.5,9.1,4.9,64.3,71.4,2.14,66.4,-,0.21,75.0,0.50,0.8,1594,-,1.21,69.9,31.2,1925,3.5,0.92,1.34,1
Remo Brave e-Sports,S7,BR,14,21.4%,0.80,1657,-174,39:13:00,10.7,13.4,4.7,8.5,35.7,28.6,1.50,35.1,-,0.07,25.0,0.43,-0.5,-792,-,0.50,31.4,29.9,1649,3.3,0.71,1.18,0
